date,signal_strategy,equal_weight
2023-02-08,1680241.9749185892,1033744.478525743
2023-02-09,1674257.561592781,1024336.6215897123
2023-02-10,1648497.3115955808,1012773.5648190423
2023-02-13,1662294.192295102,1026540.0520539253
2023-02-14,1675734.887149329,1038342.2755030459
2023-02-15,1683008.010971434,1041579.2668207765
2023-02-16,1650559.0216355668,1018716.0243712885
2023-02-17,1639264.3972278063,1013273.5352552448
2023-02-21,1595007.2643690724,989476.3272028972
2023-02-22,1595252.184654619,989754.1913740559
2023-02-23,1618711.930674018,1005567.7138938681
2023-02-24,1596841.7726090574,990159.613773281
2023-02-27,1607698.3623874625,997648.3299913333
2023-02-28,1601541.255931678,997482.3714238093
2023-03-01,1590868.8163792568,991121.139834321
2023-03-02,1607481.6133263004,997319.0200403879
2023-03-03,1645744.4728247072,1018121.3615924944
2023-03-06,1642334.155911104,1016085.2231058716
2023-03-07,1623653.3959928101,1006429.4210304711
2023-03-08,1636921.8926471875,1012450.7797765197
2023-03-09,1621644.8788304438,999138.5136758045
2023-03-10,1612890.3918478612,992505.2491739572
2023-03-13,1617512.5202463788,996518.9981627939
2023-03-14,1653885.5739903755,1024827.0142174766
2023-03-15,1669075.6871341944,1030799.5542740673
2023-03-16,1735298.9217839406,1061774.5268287046
2023-03-17,1727091.7704867665,1056581.1089433557
2023-03-20,1726425.701145702,1056470.9167850323
2023-03-21,1749104.5128464266,1071068.0756147893
2023-03-22,1736777.3731679735,1064185.9748544884
2023-03-23,1760231.0157893403,1076976.2091389191
2023-03-24,1757250.3404999378,1076194.4085439611
2023-03-27,1743401.454577255,1068738.6936503584
2023-03-28,1727069.3242009017,1062708.4187211816
2023-03-29,1767512.3904400503,1083344.1446667728
2023-03-30,1786400.3170786647,1093493.0527330295
2023-03-31,1824082.9061949712,1110928.8029157638
2023-04-03,1809016.9092084563,1107814.1002752231
2023-04-04,1799770.5417256781,1106878.5447736294
2023-04-05,1781218.2669345525,1093113.5696603612
